title,source,category,sentiment_score,date
"Loạt ảnh vệ tinh hé lộ thiệt hại Iran, Mỹ hứng chịu trong xung đột",VnExpress,News,0.0,
Tương lai chiến sự Mỹ - Iran sau vụ trực thăng Apache bị bắn rơi,VnExpress,News,0.0,
'Mỹ ủng hộ Việt Nam đảm nhận vai trò lớn hơn trên quốc tế',VnExpress,News,0.0,
Iran tuyên bố tấn công căn cứ F-35 Mỹ ở Jordan,VnExpress,News,0.0,
Những chiếc ghế mọc từ cây giá 87.000 USD,VnExpress,News,0.0,
Bill Gates bị triệu tập điều trần về quan hệ với Epstein,VnExpress,News,0.0,
Lãnh đạo Trung - Triều muốn gì ở nhau từ cuộc gặp thượng đỉnh?,VnExpress,News,0.0,
Quốc hội Mỹ duyệt chi 70 tỷ USD để siết nhập cư,VnExpress,News,0.0,
"Nổ bom xe gần Moskva, nghi nhắm vào tướng Nga",VnExpress,News,0.0,
Phó tổng thống Mỹ nuôi gà trong dinh thự,VnExpress,News,0.0,
Ông Tập đạt được 'đồng thuận quan trọng' với ông Kim Jong-un,VnExpress,News,0.0,
Mỹ tập kích Iran trả đũa vụ bắn rơi trực thăng,VnExpress,News,0.0,
15 giờ Thủ tướng Israel 'đi trên lằn ranh' với ông Trump,VnExpress,News,0.0,
"Ông Trump: Iran bắn rơi trực thăng Apache, Mỹ phải đáp trả",VnExpress,News,0.0,
"Tổng Bí thư, Chủ tịch nước: Đổi mới và thích ứng là yêu cầu sát sườn với ASEAN",VnExpress,News,0.0,
"Tổng Bí thư, Chủ tịch nước Tô Lâm tiếp lãnh đạo Lào, Campuchia, Thái Lan",VnExpress,News,0.0,
Mỹ dùng xuồng không người lái giải cứu phi công trực thăng rơi gần Hormuz,VnExpress,News,0.0,
Cuộc gọi phút chót ngăn phi đội tiêm kích Israel tấn công Iran,VnExpress,News,0.0,
Quan chức quốc tế nêu biện pháp giúp ASEAN phòng ngừa xung đột,VnExpress,News,0.0,
Thủ tướng Lê Minh Hưng chủ trì lễ đón Thủ tướng Timor-Leste,VnExpress,News,0.0,
"Lãnh đạo Campuchia, Lào, Thái Lan đề xuất hướng đi cho ASEAN",VnExpress,News,0.0,
"Iran tố Mỹ ném bom, phá hủy bể chứa nước dân sự",VnExpress,News,0.0,
Áp lực khiến giá thực phẩm ở Mỹ liên tục tăng,VnExpress,News,0.0,
Vẻ đẹp của khu đất mà con rể ông Trump muốn xây resort ở Albania,VnExpress,News,0.0,
Campuchia truy tố 4 nghi phạm tra tấn trùm bất động sản Trung Quốc đến chết,VnExpress,News,0.0,
Bên trong phòng giam cựu tổng thống Hàn Quốc,VnExpress,News,0.0,
